x y
0.967795 0.111732
0.014259 0.381501
0.948414 0.036400
0.250064 0.645211
0.936331 0.388080
0.683323 0.642713
0.902401 0.608879
0.280639 0.570658
0.696634 0.085936
0.205168 0.378655
0.101731 0.171999
0.221632 0.076152
0.567644 0.921107
0.334917 0.693746
0.795482 0.464592
0.154499 0.655098
0.555209 0.961198
0.568876 0.412547
0.930761 0.813809
0.011542 0.921972
0.426779 0.754278
0.575125 0.651193
0.105569 0.370214
0.662967 0.794005
0.225498 0.245042
0.071726 0.717047
0.749747 0.811074
0.736634 0.878229
0.734139 0.787023
0.929720 0.280481
0.441298 0.941210
0.543107 0.446666
0.664909 0.394413
0.746808 0.284020
0.712714 0.627886
0.453512 0.169832
0.385834 0.134753
0.635136 0.387196
0.024434 0.773069
0.311532 0.579759
0.643453 0.575400
0.693108 0.450446
0.704941 0.016351
0.625768 0.113339
0.969298 0.618555
0.222923 0.032144
0.791659 0.069837
0.278147 0.617424
0.532757 0.664621
0.354961 0.553516
0.593408 0.307203
0.391447 0.659227
0.608212 0.785706
0.567428 0.104369
0.049394 0.478577
0.426419 0.420290
0.963340 0.811357
0.808435 0.535870
0.290338 0.177455
0.218691 0.370853
0.786611 0.013090
0.050917 0.339792
0.605119 0.965086
0.513174 0.714498
0.316171 0.278245
0.022664 0.902455
0.590765 0.498757
0.688484 0.482179
0.973602 0.631780
0.512814 0.884660
0.946623 0.115140
0.537121 0.217741
0.931749 0.366272
0.331093 0.814076
0.219605 0.536348
0.023404 0.973130
0.476587 0.535978
0.211740 0.101686
0.190749 0.879440
0.749877 0.897697
0.503025 0.517360
0.459321 0.274610
0.834502 0.763192
0.599531 0.732657
0.233965 0.408562
0.323586 0.756187
0.054551 0.097265
0.971977 0.570106
0.772779 0.896602
0.310693 0.329812
0.220570 0.076864
0.262815 0.801777
0.692884 0.232271
0.850529 0.352512
0.596268 0.927693
0.273145 0.755947
0.130808 0.185371
0.111379 0.971649
0.690036 0.636411
0.200227 0.092460
0.925497 0.600458
0.311939 0.287438
0.169725 0.559374
0.845095 0.919272
0.697203 0.472082
0.643812 0.955560
0.119450 0.256929
0.684401 0.480907
0.072193 0.145734
0.191613 0.454588
0.698224 0.668674
0.389537 0.356054
0.225018 0.003183
0.795503 0.575801
0.796155 0.556760
0.864991 0.800624
0.014299 0.232927
0.274350 0.385739
0.596382 0.253866
0.728732 0.227393
0.434390 0.042087
0.353173 0.381459
0.894083 0.357002
0.743703 0.172305
0.298992 0.997337
0.235083 0.545011
0.644812 0.002533
0.770379 0.295281
0.960012 0.796378
0.461732 0.319425
0.763430 0.921429
0.959377 0.548762
0.324791 0.329433
0.930240 0.085291
0.108216 0.229333
0.144551 0.960050
0.590719 0.939272
0.517117 0.853763
0.388156 0.650410
0.200549 0.668554
0.684529 0.496237
0.794221 0.572079
0.463877 0.359410
0.950396 0.463488
0.498397 0.533514
0.824678 0.536565
0.644891 0.595827
0.094416 0.124442
0.721508 0.812414
0.484577 0.860250
0.134920 0.199399
0.661217 0.043554
0.741026 0.132331
0.888026 0.085696
0.054254 0.191969
0.096117 0.090519
0.388306 0.323906
0.188105 0.161609
0.379296 0.693496
0.207471 0.637052
0.256045 0.990642
0.988069 0.516646
0.789670 0.940792
0.168941 0.990486
0.828433 0.058694
0.869345 0.401846
0.445897 0.463456
0.191568 0.009121
0.022440 0.961541
0.400715 0.552511
0.330005 0.674007
0.372718 0.937460
0.676576 0.210040
0.326029 0.645282
0.956054 0.334786
0.976285 0.268045
0.928703 0.227428
0.425410 0.731784
0.608478 0.828961
0.154145 0.351373
0.605499 0.536871
0.547493 0.324844
0.832785 0.400284
0.127614 0.634103
0.405222 0.423359
0.905287 0.840605
0.796577 0.805681
0.515710 0.184119
0.362681 0.938083
0.531716 0.964109
0.847606 0.346365
0.815994 0.250982
0.340217 0.076200
0.493358 0.247501
0.211604 0.742038
0.129392 0.161380
0.879815 0.958671
0.350422 0.472869
0.325011 0.807339
0.961003 0.502804
0.535398 0.188490
0.783777 0.010692
0.558710 0.109046
0.057565 0.113269
0.167781 0.160888
0.057431 0.832750
0.050737 0.215173
0.756703 0.502797
0.229761 0.414151
0.111212 0.176853
0.854243 0.937973
0.959635 0.036101
0.537976 0.146097
0.578251 0.025314
0.268332 0.907260
0.370675 0.098412
0.122365 0.600781
0.768974 0.732629
0.909958 0.215025
0.720163 0.868079
0.358771 0.555461
0.091280 0.559168
0.767101 0.187915
0.798867 0.694037
0.751717 0.820619
0.301873 0.001111
0.053802 0.826830
0.601743 0.832192
0.310640 0.317460
0.073229 0.476314
0.753464 0.982263
0.895292 0.380067
0.663434 0.165195
0.818433 0.881773
0.955345 0.835606
0.608813 0.744965
0.787596 0.928540
0.250967 0.444558
0.452721 0.213775
0.379075 0.894313
0.093872 0.239258
0.328295 0.566235
0.420221 0.734567
0.872977 0.769758
0.835607 0.035883
0.128922 0.526456
0.591835 0.920793
0.472795 0.905456
0.434435 0.507209
0.753253 0.461067
0.298906 0.191538
0.916527 0.904871
0.771959 0.753898
0.062634 0.658371
0.276414 0.508459
0.310752 0.357232
0.413755 0.041731
0.301579 0.780607
0.805955 0.086740
0.987356 0.111448
0.196622 0.674929
0.670822 0.273768
0.354817 0.003148
0.570711 0.307580
0.112503 0.931843
0.610185 0.013152
0.274400 0.879821
0.532000 0.656828
0.267764 0.905834
0.225044 0.416508
0.647365 0.347267
0.133835 0.441462
0.967984 0.212909
0.233834 0.805444
0.365554 0.485236
0.647902 0.979338
0.281778 0.904419
0.993914 0.981168
0.858920 0.807316
0.296483 0.562711
0.995081 0.339892
0.756073 0.271118
0.534190 0.344709
0.063565 0.490494
0.704712 0.497385
0.191432 0.533455
0.090477 0.271579
0.159051 0.298822
0.346627 0.802120
0.109600 0.648018
0.067558 0.382538
0.712458 0.392211
0.841884 0.309866
0.021286 0.106379
0.012259 0.873621
0.484229 0.863511
0.358570 0.648683
0.861767 0.467445
0.534178 0.465325
0.693247 0.984008
0.534371 0.468001
0.552423 0.548884
0.554448 0.183623
0.661809 0.919866
0.745566 0.830674
0.873810 0.590350
0.173985 0.735591
0.396965 0.494177
0.476399 0.058550
0.620030 0.334279
0.625647 0.715316
0.354353 0.911035
0.856656 0.339611
0.519831 0.221372
0.190343 0.511032
0.650062 0.100570
0.997453 0.125183
0.283141 0.215592
0.132224 0.785286
0.036988 0.765429
0.859516 0.228190
0.847978 0.563157
0.745058 0.392157
0.679666 0.661384
0.891434 0.147500
0.985602 0.381198
0.287309 0.075601
0.861360 0.583009
0.024850 0.174328
0.130358 0.880408
0.812425 0.910173
0.631983 0.176587
0.320173 0.865329
0.160058 0.235111
0.934379 0.466827
0.895481 0.965793
0.255256 0.452356
0.856676 0.470880
0.431081 0.317987
0.030649 0.786480
0.045258 0.244647
0.507150 0.768351
0.604062 0.163500
0.070688 0.052195
0.310682 0.770087
0.980248 0.691515
0.421289 0.302931
0.003025 0.484202
0.773149 0.305387
0.825513 0.634116
0.622479 0.519366
0.838944 0.314203
0.406662 0.742876
0.739441 0.023772
0.437454 0.572310
0.458611 0.509346
0.599963 0.721039
0.586001 0.180155
0.434962 0.090130
0.390025 0.402739
0.182297 0.029484
0.892238 0.496016
0.943078 0.788585
0.558182 0.400018
0.980717 0.078048
0.177518 0.695182
0.532647 0.204433
0.188335 0.412334
0.950774 0.198733
0.331387 0.640604
0.122395 0.584699
0.994791 0.475624
0.454778 0.592846
0.450157 0.947369
0.940752 0.453906
0.606675 0.319366
0.477855 0.236459
0.935824 0.683419
0.718270 0.166869
0.427341 0.295594
0.900147 0.009820
0.397226 0.230832
0.609508 0.620590
0.321177 0.521996
0.377234 0.542912
0.123477 0.105895
0.676039 0.979104
0.703963 0.181576
0.693998 0.144498
0.500908 0.787287
0.883656 0.427674
0.286075 0.907288
0.417066 0.246061
0.118222 0.634262
0.502310 0.726285
0.199280 0.334995
0.396544 0.572366
0.843235 0.447112
0.271996 0.205215
0.726459 0.385808
0.242935 0.514093
0.605878 0.570233
0.845890 0.467845
0.158179 0.946701
0.651097 0.714110
0.653156 0.923518
0.332338 0.215462
0.920718 0.773433
0.178026 0.334942
0.509868 0.540734
0.033601 0.826361
0.479763 0.041175
0.826570 0.964909
0.790307 0.976105
0.123128 0.918554
0.285486 0.851216
0.837951 0.405328
0.318341 0.478601
0.549215 0.737878
0.484482 0.769052
0.939412 0.469335
0.417568 0.439010
0.127322 0.506161
0.961536 0.034675
0.501520 0.482978
0.443941 0.669049
0.334782 0.401721
0.078011 0.742805
0.869896 0.692700
0.938205 0.823959
0.971051 0.885119
0.587921 0.124305
0.419554 0.655788
0.598376 0.216551
0.364896 0.396797
0.174198 0.613596
0.330413 0.820106
0.914648 0.538812
0.507700 0.261200
0.889630 0.861029
0.870447 0.175714
0.576326 0.005285
0.956959 0.628672
0.193158 0.626536
0.892847 0.573796
0.931093 0.451552
0.482662 0.843956
0.107379 0.708500
0.695319 0.810204
0.426074 0.920370
0.266244 0.677740
0.609051 0.225035
0.798631 0.382389
0.536933 0.155791
0.659303 0.571061
0.498426 0.631982
0.138513 0.787749
0.537849 0.414336
0.246828 0.321704
0.786232 0.813276
0.502286 0.963052
0.260971 0.779742
0.634388 0.998347
0.570766 0.469534
0.417106 0.966365
0.245126 0.121312
0.199928 0.836574
0.146499 0.631131
0.781032 0.602859
0.050313 0.822211
0.584681 0.193881
0.615472 0.232360
0.416867 0.368527
0.088253 0.474399
0.517458 0.690933
0.710488 0.531196
0.047185 0.168143
0.634437 0.485273
0.625038 0.085431
0.142352 0.385544
0.554817 0.837724
0.489371 0.253193
0.498784 0.302339
0.034236 0.412256
0.026663 0.747527
0.687469 0.511687
0.171200 0.718757
0.306711 0.743436
0.391606 0.069734
0.011474 0.585351
0.826061 0.005392
0.203247 0.811527
0.150823 0.873674
0.427351 0.757573
0.014556 0.710175
0.144788 0.071496
0.961557 0.680137
0.560191 0.423996
0.839196 0.760603
0.223165 0.470097
0.189671 0.698965
0.898349 0.256875
0.154776 0.007625
0.177095 0.712789
0.929970 0.358509
0.644329 0.873556
0.330811 0.982694
0.479412 0.517748
0.097383 0.726771
0.412712 0.826535
0.166605 0.578453
0.345247 0.677487
0.905287 0.183102
0.876030 0.020254
0.208453 0.165144
0.032397 0.443318
0.398106 0.720661
0.694119 0.587804
0.699626 0.873147
0.017352 0.781124
0.125877 0.334282
0.632144 0.789184
0.567407 0.061064
0.251081 0.987425
0.689751 0.612242
0.100020 0.266440
0.806825 0.036724
0.724286 0.687372
0.770040 0.080197
0.472773 0.881405
0.705878 0.066092
0.363414 0.111712
0.239161 0.320963
0.553879 0.801331
0.893823 0.165102
0.339034 0.315670
0.486850 0.513730
0.473287 0.158497
0.637895 0.866462
0.623331 0.447440
0.756817 0.737965
0.670342 0.952017
0.925618 0.212975
0.782489 0.547955
0.318215 0.622103
0.705745 0.551463
0.441905 0.882058
0.860249 0.862599
0.153652 0.163696
0.992008 0.401276
0.850258 0.196006
0.466362 0.458587
0.826194 0.303269
0.772000 0.710274
0.367032 0.660057
0.393002 0.487421
0.793933 0.162982
0.711239 0.183762
0.577684 0.009812
0.962138 0.816477
0.223765 0.539762
0.761537 0.660690
0.525314 0.540395
0.172499 0.368138
0.270807 0.876514
0.790214 0.998684
0.243883 0.711655
0.756955 0.604300
0.757582 0.177200
0.728739 0.613796
0.239226 0.810622
0.428410 0.125909
0.590775 0.283454
0.681924 0.331744
0.242881 0.004444
0.986909 0.359580
0.675335 0.061946
0.562950 0.221506
0.888056 0.853076
0.400887 0.282462
0.218049 0.542189
0.638641 0.678488
0.221179 0.717621
0.491818 0.916053
0.359798 0.508180
0.981035 0.802769
0.883230 0.984908
0.733355 0.728973
0.652756 0.466408
0.557547 0.127770
0.678748 0.239251
0.711596 0.056537
0.050232 0.714478
0.059951 0.775870
0.651197 0.691869
0.310676 0.599905
0.113665 0.708312
0.486814 0.808260
0.858618 0.650565
0.191849 0.470871
0.569314 0.254964
0.351285 0.308347
0.703837 0.106101
0.618020 0.828398
0.220997 0.182152
0.511584 0.812282
0.503651 0.284369
0.867085 0.596419
0.234709 0.961284
0.054898 0.370432
0.641524 0.260667
0.237960 0.886934
0.388254 0.099657
0.229214 0.060408
0.227910 0.313467
0.828176 0.787233
0.183420 0.232838
0.572903 0.788187
0.976147 0.756984
0.995155 0.017990
0.344986 0.187375
0.778711 0.473812
0.216391 0.657820
0.200099 0.160556
0.015405 0.338920
0.314423 0.005508
0.186822 0.351244
0.122207 0.817909
0.042094 0.895221
0.999368 0.505927
0.916297 0.592130
0.836344 0.008890
0.122450 0.046207
0.588264 0.013589
0.115463 0.823689
0.095650 0.703668
0.503082 0.217905
0.772530 0.208900
0.956802 0.789997
0.145468 0.953860
0.087899 0.719643
0.871947 0.285681
0.175169 0.164046
0.854617 0.699774
0.551906 0.788332
0.634449 0.736428
0.927162 0.706680
0.647095 0.043832
0.635221 0.529114
0.083250 0.889923
0.678943 0.977989
0.971901 0.918469
0.108972 0.665163
0.692074 0.279941
0.701080 0.609837
0.819704 0.572831
0.239345 0.483673
0.737879 0.095605
0.579980 0.250468
0.840045 0.161755
0.480462 0.408791
0.995655 0.291188
0.637232 0.667966
0.380866 0.156877
0.099873 0.055945
0.647666 0.555827
0.249919 0.713183
0.146355 0.330711
0.595303 0.634653
0.690794 0.315241
0.728707 0.024945
0.180261 0.564429
0.672228 0.274299
0.712339 0.667520
0.124250 0.763632
0.258452 0.610071
0.887939 0.732220
0.129440 0.280016
0.682966 0.696182
0.712377 0.513819
0.386363 0.060483
0.150788 0.104447
0.910342 0.256369
0.073658 0.802930
0.902870 0.364178
0.602988 0.625167
0.117407 0.826757
0.746227 0.640137
0.886896 0.514357
0.787385 0.876874
0.258947 0.408260
0.764360 0.649371
0.745820 0.710582
0.885177 0.106223
0.642620 0.558040
0.151403 0.956606
0.838263 0.020780
0.148409 0.598419
0.263150 0.666666
0.092123 0.181524
0.921655 0.546770
0.693501 0.041094
0.969901 0.905455
0.947012 0.282723
0.154630 0.074928
0.212020 0.603688
0.375311 0.429459
0.514259 0.310339
0.770312 0.791570
0.551043 0.861961
0.794296 0.201093
0.953055 0.868837
0.408564 0.616430
0.714747 0.573573
0.394441 0.606344
0.612511 0.832190
0.977845 0.502354
0.664241 0.617745
0.967454 0.574059
0.575422 0.796709
0.730973 0.427705
0.335601 0.040214
0.684432 0.845683
0.275778 0.803101
0.668151 0.997098
0.562394 0.550038
0.802302 0.702456
0.265884 0.196086
0.149494 0.096401
0.071263 0.763181
0.227759 0.459966
0.376072 0.226488
0.866190 0.389761
0.965550 0.338847
0.575459 0.099043
0.986248 0.847402
0.368870 0.845870
0.680750 0.006226
0.269357 0.637557
0.204157 0.718138
0.955705 0.289249
0.975674 0.155616
0.598531 0.249352
0.752738 0.576197
0.499653 0.414481
0.753060 0.240440
0.890152 0.118569
0.281492 0.238214
0.509437 0.497745
0.574551 0.851588
0.194080 0.599742
0.958172 0.881907
0.203097 0.922088
0.456321 0.171251
0.663986 0.038003
0.841348 0.304636
0.650951 0.059332
0.584818 0.804832
0.293869 0.938758
0.271060 0.641048
0.860999 0.489878
0.810426 0.548807
0.599664 0.957493
0.946800 0.082907
0.236982 0.655788
0.905520 0.811003
0.603145 0.065875
0.131044 0.258092
0.137714 0.628184
0.538260 0.923174
0.512430 0.887516
0.512219 0.156091
0.581539 0.148839
0.289298 0.814215
0.642531 0.452742
0.102536 0.408947
0.439215 0.480978
0.164627 0.999153
0.836962 0.539949
0.620134 0.713800
0.662658 0.670299
0.776136 0.810105
0.733278 0.722649
0.499940 0.101720
0.660094 0.189371
0.620416 0.342559
0.429305 0.386113
0.618343 0.458337
0.021742 0.125185
0.112130 0.732968
0.869034 0.626614
0.329544 0.888471
0.869540 0.552973
0.037838 0.097809
0.029352 0.273389
0.656600 0.211703
0.180793 0.625625
0.755778 0.166046
0.663434 0.834858
0.151923 0.511508
0.747249 0.316775
0.439924 0.020722
0.607270 0.245144
0.791164 0.946309
0.871330 0.067623
0.676315 0.987779
0.483998 0.964023
0.783479 0.399448
0.057945 0.304117
0.920755 0.512155
0.310603 0.981371
0.904333 0.652425
0.060143 0.942589
0.190285 0.715114
0.115718 0.308844
0.421077 0.853855
0.752733 0.774936
0.866112 0.674063
0.026672 0.166720
0.757783 0.075065
0.257945 0.720021
0.225132 0.996268
0.957146 0.806549
0.232331 0.546362
0.277857 0.485090
0.344796 0.493138
0.794632 0.009709
0.475504 0.808781
0.320189 0.292604
0.506357 0.136887
0.993642 0.762173
0.293085 0.999427
0.537814 0.653128
0.470044 0.955232
0.084446 0.704893
0.259793 0.244511
0.149315 0.472650
0.089817 0.702719
0.877436 0.144688
0.697903 0.163264
0.585207 0.383148
0.103034 0.900551
0.822070 0.701996
0.458692 0.775533
0.810517 0.307711
0.380808 0.417692
0.559644 0.966383
0.608683 0.175060
0.405107 0.649783
0.940928 0.209454
0.972357 0.607298
0.070272 0.082561
0.017975 0.190386
0.123399 0.314473
0.151482 0.157248
0.783470 0.923072
0.508005 0.793993
0.440804 0.512544
0.763592 0.837717
0.836471 0.267410
0.947586 0.991494
0.578314 0.113179
0.477578 0.038750
0.534933 0.370684
0.507473 0.027120
0.946393 0.815329
0.752697 0.623719
0.498506 0.135438
0.046568 0.745348
0.962645 0.732054
0.760914 0.203388
0.936298 0.997967
0.313166 0.381006
0.691460 0.795065
0.271772 0.615765
0.911172 0.765115
0.532714 0.222908
0.057660 0.694347
0.384073 0.946113
0.465471 0.002818
0.368506 0.438709
0.314407 0.768183
0.303670 0.447381
0.676116 0.677453
0.503515 0.845175
0.493777 0.584287
0.499959 0.713712
0.546303 0.129471
0.577441 0.480613
0.816061 0.974215
0.225977 0.832547
0.831600 0.525870
0.360501 0.956219
0.252408 0.223733
0.915332 0.471276
0.889877 0.707697
0.010801 0.255635
0.987979 0.855082
0.926057 0.032196
0.842317 0.393302
0.895574 0.619059
0.139131 0.824515
0.581266 0.130238
0.379252 0.476479
0.484718 0.406561
0.882474 0.404165
0.715694 0.259072
0.996247 0.799046
0.827745 0.547162
0.338182 0.420169
0.302593 0.461885
0.356443 0.104968
0.132468 0.218910
0.059708 0.093605
0.794788 0.953940
0.491537 0.015332
0.076365 0.529593
0.235816 0.842079
0.056311 0.297493
0.248153 0.746586
0.477249 0.520008
0.839399 0.934224
0.442253 0.078593
0.040046 0.154498
0.814439 0.422204
0.969844 0.373837
0.672204 0.727098
0.005725 0.022087
0.002962 0.574979
0.459203 0.605967
0.597752 0.729904
0.609328 0.838075
0.319996 0.486475
0.224052 0.141403
0.522057 0.707517
0.022407 0.799547
0.459155 0.959978
0.680288 0.573976
0.741987 0.010656
0.380202 0.135832
0.503327 0.019665
0.972946 0.217812
0.893875 0.916393
0.059012 0.928068
0.416707 0.798383
0.016475 0.453150
0.628219 0.588859
0.220579 0.650163
0.296482 0.403876
0.085030 0.098547
0.922566 0.618017
0.761499 0.229318
0.739266 0.810014
0.289113 0.808555
0.849380 0.474958
0.401059 0.502377
0.742039 0.997842
0.838032 0.094398
0.903263 0.885228
0.378436 0.612508
0.552095 0.322346
0.377600 0.829606
0.094605 0.772765
0.913317 0.508899
0.967042 0.786836
0.176361 0.646136
0.341535 0.533344
0.844165 0.727059
0.878065 0.451377
0.753268 0.775472
0.686729 0.072185
0.438439 0.896219
0.870444 0.965966
0.595096 0.412041
0.789111 0.001568
0.916636 0.270233
0.685474 0.494300
0.607141 0.437117
0.497586 0.349516
0.353629 0.760906
0.425993 0.525209
0.697202 0.675649
0.252724 0.403585
0.236952 0.282562
0.563526 0.362273
0.170522 0.234035
0.364184 0.639656
0.267716 0.867781
0.531768 0.058307
0.933288 0.380087
0.986835 0.443960
0.927697 0.963335
0.349234 0.748757
0.991831 0.173536
0.610041 0.435485
0.425783 0.505742
0.451788 0.082367
0.953912 0.988046
0.001495 0.598676
0.286465 0.849042
0.023173 0.308409
0.822301 0.606974
0.759586 0.825860
0.322765 0.244316
0.252115 0.865114
0.323392 0.834192
0.039740 0.918552
0.207170 0.080248
0.101188 0.378193
0.389627 0.989337
0.982083 0.431425
0.170066 0.547631
0.473906 0.144868
0.974365 0.001129
0.949071 0.810966
0.497346 0.766961
0.356727 0.827774
0.910489 0.549921
0.230239 0.347812
0.651662 0.630144
0.805381 0.790398
0.419748 0.098937
0.779551 0.475417
0.777953 0.421173
0.835255 0.983015
0.892712 0.103403
0.521851 0.974065
0.351914 0.498791
0.611161 0.571271
0.730321 0.288935
0.276114 0.846149
0.255986 0.181913
0.462794 0.611130
0.624210 0.538440
0.006719 0.043839
0.635777 0.370831
0.732880 0.891146
0.177393 0.336183
0.292316 0.799706
0.505296 0.837829
0.670414 0.415526
0.127592 0.730696
0.637267 0.187434
0.312545 0.031492
0.384205 0.791268
0.785909 0.994254
0.877638 0.470812
0.981819 0.926507
0.693415 0.018572
0.112735 0.664656
0.393641 0.247314
0.497916 0.395570
0.476937 0.854360
0.369961 0.802004
0.678038 0.584325
0.615652 0.992005
0.677115 0.424442
0.737247 0.112201
0.834595 0.362162
0.216644 0.446111
0.016462 0.197794
0.304290 0.736873
0.892468 0.069960
0.025816 0.718568
0.904276 0.029930
0.159645 0.603193
0.917516 0.144746
0.436923 0.615478
0.058382 0.381189
0.856721 0.722312
0.890240 0.239817
0.035160 0.285341
0.742069 0.384388
0.359495 0.148773
0.181605 0.469780
0.671610 0.780390
0.194551 0.815019
0.731692 0.412969
0.720056 0.729651
0.727456 0.902258
0.226922 0.701931
0.286679 0.317298
0.922157 0.458891
0.205256 0.389730
0.404087 0.119681
0.226320 0.571830
0.309900 0.098973
0.926543 0.731520
0.797007 0.835955
0.546283 0.235428
0.183804 0.350451
0.060518 0.254810
0.828160 0.023407
0.017949 0.307444
0.497813 0.121807
0.503056 0.993672
0.753552 0.533509
0.016755 0.007931
0.102573 0.241980
0.458055 0.320671
0.541612 0.352948
0.043736 0.599322
0.246539 0.673306
0.956183 0.160460
0.234677 0.224942
0.347608 0.533401
0.918284 0.781539
0.493034 0.547998
0.997422 0.895086
0.410228 0.153757
0.825273 0.261383
0.115903 0.315586
0.852575 0.714183
0.892240 0.343593
0.952994 0.727832
0.065523 0.761998
0.137653 0.600342
0.416471 0.583907
0.453555 0.107643
0.174152 0.432663
0.336810 0.335054
0.400943 0.604103
0.851249 0.550388
0.988918 0.817557
0.719493 0.199039
0.393977 0.037946
0.132595 0.794670
0.821772 0.068566
0.594072 0.327493
0.063632 0.962903
0.299706 0.100069
0.640765 0.093865
0.311045 0.198010
0.714018 0.328574
0.123061 0.261327
0.089180 0.669556
0.463487 0.679178
0.902631 0.278983
0.299787 0.399848
0.131674 0.648568
0.200794 0.576539
0.792533 0.396404
0.384404 0.008045
0.940392 0.295092
0.262550 0.890965
0.313363 0.056725
